stop_id,day,time
128S,34 St - Penn Station,WKD,2658
128N,34 St - Penn Station,WKD,5322
128S,34 St - Penn Station,WKD,3798
128N,34 St - Penn Station,WKD,6522
128S,34 St - Penn Station,WKD,4998
128N,34 St - Penn Station,WKD,7722
128S,34 St - Penn Station,WKD,6198
128N,34 St - Penn Station,WKD,8922
128S,34 St - Penn Station,WKD,7398
128N,34 St - Penn Station,WKD,10122
128S,34 St - Penn Station,WKD,8598
128N,34 St - Penn Station,WKD,11322
128S,34 St - Penn Station,WKD,9798
128N,34 St - Penn Station,WKD,12522
128S,34 St - Penn Station,WKD,10998
128N,34 St - Penn Station,WKD,13722
128S,34 St - Penn Station,WKD,12198
128N,34 St - Penn Station,WKD,14922
128S,34 St - Penn Station,WKD,13398
128N,34 St - Penn Station,WKD,16122
128S,34 St - Penn Station,WKD,14598
128N,34 St - Penn Station,WKD,17322
128S,34 St - Penn Station,WKD,15798
128N,34 St - Penn Station,WKD,18522
128S,34 St - Penn Station,WKD,16998
128N,34 St - Penn Station,WKD,19722
128S,34 St - Penn Station,WKD,18198
128N,34 St - Penn Station,WKD,20922
128S,34 St - Penn Station,WKD,19218
128N,34 St - Penn Station,WKD,21762
128S,34 St - Penn Station,WKD,20118
128N,34 St - Penn Station,WKD,22542
128S,34 St - Penn Station,WKD,20808
128N,34 St - Penn Station,WKD,23142
128S,34 St - Penn Station,WKD,21288
128N,34 St - Penn Station,WKD,23766
128S,34 St - Penn Station,WKD,21804
128N,34 St - Penn Station,WKD,24366
128S,34 St - Penn Station,WKD,22284
128N,34 St - Penn Station,WKD,24906
128S,34 St - Penn Station,WKD,22764
128N,34 St - Penn Station,WKD,25386
128S,34 St - Penn Station,WKD,23244
128N,34 St - Penn Station,WKD,25866
128S,34 St - Penn Station,WKD,23724
128N,34 St - Penn Station,WKD,26346
128S,34 St - Penn Station,WKD,24204
128N,34 St - Penn Station,WKD,26766
128S,34 St - Penn Station,WKD,24684
128N,34 St - Penn Station,WKD,27186
128S,34 St - Penn Station,WKD,25164
128N,34 St - Penn Station,WKD,27636
128S,34 St - Penn Station,WKD,25674
128N,34 St - Penn Station,WKD,28056
128S,34 St - Penn Station,WKD,26034
128N,34 St - Penn Station,WKD,28416
128S,34 St - Penn Station,WKD,26394
128N,34 St - Penn Station,WKD,28776
128S,34 St - Penn Station,WKD,26694
128N,34 St - Penn Station,WKD,29076
128S,34 St - Penn Station,WKD,27024
128N,34 St - Penn Station,WKD,29376
128S,34 St - Penn Station,WKD,27354
128N,34 St - Penn Station,WKD,29706
128S,34 St - Penn Station,WKD,27654
128N,34 St - Penn Station,WKD,30006
128S,34 St - Penn Station,WKD,27960
128N,34 St - Penn Station,WKD,30306
128S,34 St - Penn Station,WKD,28260
128N,34 St - Penn Station,WKD,30606
128S,34 St - Penn Station,WKD,28500
128N,34 St - Penn Station,WKD,30906
128S,34 St - Penn Station,WKD,28740
128N,34 St - Penn Station,WKD,31176
128S,34 St - Penn Station,WKD,28920
128N,34 St - Penn Station,WKD,31386
128S,34 St - Penn Station,WKD,29130
128N,34 St - Penn Station,WKD,31566
128S,34 St - Penn Station,WKD,29340
128N,34 St - Penn Station,WKD,31746
128S,34 St - Penn Station,WKD,29550
128N,34 St - Penn Station,WKD,32046
128S,34 St - Penn Station,WKD,29760
128N,34 St - Penn Station,WKD,32256
128S,34 St - Penn Station,WKD,29970
128N,34 St - Penn Station,WKD,32466
128S,34 St - Penn Station,WKD,30180
128N,34 St - Penn Station,WKD,32676
128S,34 St - Penn Station,WKD,30390
128N,34 St - Penn Station,WKD,32856
128S,34 St - Penn Station,WKD,30600
128N,34 St - Penn Station,WKD,33036
128S,34 St - Penn Station,WKD,30780
128N,34 St - Penn Station,WKD,33216
128S,34 St - Penn Station,WKD,30960
128N,34 St - Penn Station,WKD,33396
128S,34 St - Penn Station,WKD,31140
128N,34 St - Penn Station,WKD,33576
128S,34 St - Penn Station,WKD,31320
128N,34 St - Penn Station,WKD,33756
128S,34 St - Penn Station,WKD,31500
128N,34 St - Penn Station,WKD,33936
128S,34 St - Penn Station,WKD,31680
128N,34 St - Penn Station,WKD,34116
128S,34 St - Penn Station,WKD,31860
128N,34 St - Penn Station,WKD,34296
128S,34 St - Penn Station,WKD,32040
128N,34 St - Penn Station,WKD,34476
128S,34 St - Penn Station,WKD,32220
128N,34 St - Penn Station,WKD,34656
128S,34 St - Penn Station,WKD,32400
128N,34 St - Penn Station,WKD,34866
128S,34 St - Penn Station,WKD,32640
128N,34 St - Penn Station,WKD,35106
128S,34 St - Penn Station,WKD,32850
128N,34 St - Penn Station,WKD,35316
128S,34 St - Penn Station,WKD,33090
128N,34 St - Penn Station,WKD,35556
128S,34 St - Penn Station,WKD,33330
128N,34 St - Penn Station,WKD,35796
128S,34 St - Penn Station,WKD,33510
128N,34 St - Penn Station,WKD,36036
128S,34 St - Penn Station,WKD,33780
128N,34 St - Penn Station,WKD,36276
128S,34 St - Penn Station,WKD,34080
128N,34 St - Penn Station,WKD,36516
128S,34 St - Penn Station,WKD,34380
128N,34 St - Penn Station,WKD,36816
128S,34 St - Penn Station,WKD,34644
128N,34 St - Penn Station,WKD,37116
128S,34 St - Penn Station,WKD,34944
128N,34 St - Penn Station,WKD,37416
128S,34 St - Penn Station,WKD,35244
128N,34 St - Penn Station,WKD,37716
128S,34 St - Penn Station,WKD,35544
128N,34 St - Penn Station,WKD,38016
128S,34 St - Penn Station,WKD,35844
128N,34 St - Penn Station,WKD,38316
128S,34 St - Penn Station,WKD,36144
128N,34 St - Penn Station,WKD,38646
128S,34 St - Penn Station,WKD,36444
128N,34 St - Penn Station,WKD,38976
128S,34 St - Penn Station,WKD,36774
128N,34 St - Penn Station,WKD,39276
128S,34 St - Penn Station,WKD,37074
128N,34 St - Penn Station,WKD,39576
128S,34 St - Penn Station,WKD,37374
128N,34 St - Penn Station,WKD,39876
128S,34 St - Penn Station,WKD,37674
128N,34 St - Penn Station,WKD,40176
128S,34 St - Penn Station,WKD,37974
128N,34 St - Penn Station,WKD,40476
128S,34 St - Penn Station,WKD,38274
128N,34 St - Penn Station,WKD,40776
128S,34 St - Penn Station,WKD,38574
128N,34 St - Penn Station,WKD,41076
128S,34 St - Penn Station,WKD,38874
128N,34 St - Penn Station,WKD,41376
128S,34 St - Penn Station,WKD,39144
128N,34 St - Penn Station,WKD,41676
128S,34 St - Penn Station,WKD,39444
128N,34 St - Penn Station,WKD,41976
128S,34 St - Penn Station,WKD,39744
128N,34 St - Penn Station,WKD,42276
128S,34 St - Penn Station,WKD,40044
128N,34 St - Penn Station,WKD,42636
128S,34 St - Penn Station,WKD,40344
128N,34 St - Penn Station,WKD,42996
128S,34 St - Penn Station,WKD,40704
128N,34 St - Penn Station,WKD,43356
128S,34 St - Penn Station,WKD,41064
128N,34 St - Penn Station,WKD,43716
128S,34 St - Penn Station,WKD,41424
128N,34 St - Penn Station,WKD,44076
128S,34 St - Penn Station,WKD,41784
128N,34 St - Penn Station,WKD,44436
128S,34 St - Penn Station,WKD,42144
128N,34 St - Penn Station,WKD,44796
128S,34 St - Penn Station,WKD,42504
128N,34 St - Penn Station,WKD,45156
128S,34 St - Penn Station,WKD,42864
128N,34 St - Penn Station,WKD,45516
128S,34 St - Penn Station,WKD,43224
128N,34 St - Penn Station,WKD,45876
128S,34 St - Penn Station,WKD,43584
128N,34 St - Penn Station,WKD,46236
128S,34 St - Penn Station,WKD,43944
128N,34 St - Penn Station,WKD,46596
128S,34 St - Penn Station,WKD,44304
128N,34 St - Penn Station,WKD,46956
128S,34 St - Penn Station,WKD,44664
128N,34 St - Penn Station,WKD,47316
128S,34 St - Penn Station,WKD,45024
128N,34 St - Penn Station,WKD,47676
128S,34 St - Penn Station,WKD,45384
128N,34 St - Penn Station,WKD,48036
128S,34 St - Penn Station,WKD,45744
128N,34 St - Penn Station,WKD,48396
128S,34 St - Penn Station,WKD,46104
128N,34 St - Penn Station,WKD,48756
128S,34 St - Penn Station,WKD,46464
128N,34 St - Penn Station,WKD,49116
128S,34 St - Penn Station,WKD,46824
128N,34 St - Penn Station,WKD,49476
128S,34 St - Penn Station,WKD,47184
128N,34 St - Penn Station,WKD,49836
128S,34 St - Penn Station,WKD,47544
128N,34 St - Penn Station,WKD,50196
128S,34 St - Penn Station,WKD,47904
128N,34 St - Penn Station,WKD,50556
128S,34 St - Penn Station,WKD,48264
128N,34 St - Penn Station,WKD,50916
128S,34 St - Penn Station,WKD,48624
128N,34 St - Penn Station,WKD,51276
128S,34 St - Penn Station,WKD,48984
128N,34 St - Penn Station,WKD,51636
128S,34 St - Penn Station,WKD,49374
128N,34 St - Penn Station,WKD,51996
128S,34 St - Penn Station,WKD,49734
128N,34 St - Penn Station,WKD,52356
128S,34 St - Penn Station,WKD,50094
128N,34 St - Penn Station,WKD,52716
128S,34 St - Penn Station,WKD,50454
128N,34 St - Penn Station,WKD,53076
128S,34 St - Penn Station,WKD,50814
128N,34 St - Penn Station,WKD,53436
128S,34 St - Penn Station,WKD,51174
128N,34 St - Penn Station,WKD,53796
128S,34 St - Penn Station,WKD,51534
128N,34 St - Penn Station,WKD,54156
128S,34 St - Penn Station,WKD,51894
128N,34 St - Penn Station,WKD,54516
128S,34 St - Penn Station,WKD,52254
128N,34 St - Penn Station,WKD,54876
128S,34 St - Penn Station,WKD,52614
128N,34 St - Penn Station,WKD,55236
128S,34 St - Penn Station,WKD,52974
128N,34 St - Penn Station,WKD,55566
128S,34 St - Penn Station,WKD,53334
128N,34 St - Penn Station,WKD,55896
128S,34 St - Penn Station,WKD,53694
128N,34 St - Penn Station,WKD,56226
128S,34 St - Penn Station,WKD,54054
128N,34 St - Penn Station,WKD,56556
128S,34 St - Penn Station,WKD,54414
128N,34 St - Penn Station,WKD,56886
128S,34 St - Penn Station,WKD,54744
128N,34 St - Penn Station,WKD,57216
128S,34 St - Penn Station,WKD,55044
128N,34 St - Penn Station,WKD,57546
128S,34 St - Penn Station,WKD,55344
128N,34 St - Penn Station,WKD,57876
128S,34 St - Penn Station,WKD,55644
